SA,Q
"((-1, 2, 210), 1)",1.852057389384318
"((-2, 1, 210.0), 0)",7.74730819227823
"((-2, 1, 180.0), 0)",9.325709383422936
"((1, 3, 90), 1)",19.608300407614564
"((2, 1, 210), 1)",1.6231914206958251
"((-2, 1, 210.0), 1)",-12.141229787724471
"((-2, 4, 210), 1)",-49.9624674596832
"((-2, 4, 210), 0)",-61.99928220254979
"((-2, 4, 180), 1)",3.860945202087409
"((-2, 4, 180), 0)",11.945162395808438
"((-2, 4, 150), 1)",8.641686013474999
"((-2, 4, 150), 0)",7.603097169519078
"((-2, 4, 120), 1)",16.57695459509596
"((-2, 4, 120), 0)",1.4555280440690073
"((-2, 4, 90), 1)",-9.05159986785472
"((-2, 4, 90), 0)",-2.9296542889830843
"((-1, 4, 90), 1)",-5.362776350820826
"((-1, 4, 90), 0)",-9.942650508415657
"((-1, 4, 60), 1)",-141.4676777329837
"((2, 2, 210), 1)",7.926143596058672
"((-2, 1, 180.0), 1)",13.703955186717096
"((2, 3, 180), 1)",14.442351572044904
"((-1, 2, 150), 0)",32.38881028899762
"((-1, 2, 150), 1)",7.39342073351734
"((-1, 1, 120), 1)",1.5787297306825214
"((-2, 1, 120), 0)",2.0325628887502964
"((-2, 4, 60), 1)",-62.281526755104025
"((-2, 4, 60), 0)",-66.52243736108552
"((0, 3, 240), 0)",6.078315666891209
"((-1, 2, 60), 1)",18.236499927846616
"((2, 1, 180), 1)",3.1894356069585124
"((-2, 1, 150.0), 1)",12.271115018186785
"((-2, 1, 150.0), 0)",8.833079175299863
"((-1, 3, 90), 1)",9.476463079321928
"((2, 4, 270), 0)",1.2864991033270952
"((2, 3, 210), 1)",11.897960589119972
"((-2, 2, 180), 0)",26.659078451471576
"((0, 2, 150), 0)",12.626796124938194
"((2, 2, 120), 0)",16.51168592045474
"((2, 2, 180), 1)",19.142575079072717
"((-1, 4, 120.0), 1)",0.4772864822924562
"((-1, 1, 90), 0)",6.774915447102585
"((1, 1, 210), 1)",1.1170524300403777
"((-1, 4, 60), 0)",-55.27819917826778
"((1, 4, 300), 1)",0.2838754895271244
"((0, 1, 120), 0)",2.577128792432557
"((2, 2, 90), 0)",31.65721977601268
"((-1, 0, 150), 1)",2.194518093360613
"((0, 0, 90), 1)",-0.0859194264075581
"((-1, 2, 120), 1)",0.9408635561565456
"((1, 1, 60), 0)",4.236638085373867
"((1, 0, 150), 1)",2.2348570914525645
"((-2, 4, 240), 0)",-5.439708032938308
"((1, 0, 120), 1)",7.414338145097097
